source_id	derivative_id	subjects_num	sessions_num	output_num	output_size	nifti_num	nifti_size	html_num
ds002843	MRIQC-22.0.6	165	291	3192	0	0	0	0
ds002843	fMRIPrep-25.2.3	332	420	34923	21746037923	9358	6061328534	0
